mediaPi  =    

!   3.14424   !
!   3.1465    !
!   3.14364   !
!   3.14038   !
!   3.13876   !
!   3.1403267 !
!   3.1432114 !
!   3.14153   !
!   3.1415689 !
!   3.14024   !
!   3.1425309 !
!   3.1399667 !
!   3.1424123 !
!   3.1403514 !
!   3.1430347 !
!   3.14545   !
!   3.1417553 !
!   3.1427578 !
!   3.1412147 !
!   3.141122  !
!   3.1418171 !
!   3.1406073 !
!   3.1425617 !
!   3.1406817 !
!   3.1407664 !
!   3.1414277 !
!   3.143117  !
!   3.1419814 !
!   3.1426772 !
!   3.140984  !
!   3.1414594 !
!   3.1416988 !
!   3.1415733 !
!   3.1419659 !
!   3.1405737 !
!   3.1440778 !
!   3.140093  !
!   3.1402368 !
!   3.142921  !
!   3.14132   !
!   3.1409132 !
!   3.141401  !
!   3.1408893 !
!   3.1417736 !
!   3.1422747 !
!   3.1423757 !
!   3.1411362 !
!   3.1414592 !
!   3.142222  !
!   3.141436  !

varPi =

!   0.0027982 !
!   0.0013207 !
!   0.0009236 !
!   0.0006531 !
!   0.0006176 !
!   0.0004561 !
!   0.0003760 !
!   0.0003132 !
!   0.0002570 !
!   0.0003251 !
!   0.0002648 !
!   0.0002524 !
!   0.0002493 !
!   0.0001719 !
!   0.0001259 !
!   0.0001469 !
!   0.0001728 !
!   0.0001462 !
!   0.0001142 !
!   0.0001014 !
!   0.0001167 !
!   0.0001406 !
!   0.0001226 !
!   0.0000904 !
!   0.0000966 !
!   0.0001344 !
!   0.0001015 !
!   0.0001017 !
!   0.0001228 !
!   0.0001007 !
!   0.0000940 !
!   0.0000838 !
!   0.0000912 !
!   0.0000840 !
!   0.0000643 !
!   0.0000720 !
!   0.0000614 !
!   0.0000841 !
!   0.0000707 !
!   0.0000643 !
!   0.0000776 !
!   0.0000682 !
!   0.0000568 !
!   0.0000603 !
!   0.0000670 !
!   0.0000625 !
!   0.0000665 !
!   0.0000624 !
!   0.0000524 !
!   0.0000462 !
                                                                                                                        
